pass_order,module,phase,depends_on_modules,zero_main_targets,odoo_source_hotspots,integration_goal
1,base_territory,Phase 1 — foundation,,app/Models/Work/Site.php; app/Http/Controllers/Core/Team/ZoneController.php; routes/core/team.routes.php; resources/views/default/panel/user/team/zones/*,models/__init__.py; models/res_branch.py; models/res_country.py; models/res_district.py; models/res_region.py; models/res_territory.py; security/ir.model.access.csv; views/menu.xml; views/res_branch.xml; views/res_country.xml; views/res_district.xml; views/res_region.xml; views/res_territory.xml; tests/__init__.py; tests/test_res_branch.py; tests/test_res_country.py; tests/test_res_district.py; tests/test_res_region.py,"This module allows you to define territories, branches, districts and regions to be used for Field Service operations or Sales."
2,fieldservice,Phase 1 — foundation,base_territory,app/Models/Work/ServiceJob.php; app/Models/Work/Site.php; app/Http/Controllers/Core/Work/ServiceJobController.php; routes/core/work.routes.php; resources/views/default/panel/user/work/jobs/*,models/__init__.py; models/fsm_category.py; models/fsm_equipment.py; models/fsm_location.py; models/fsm_location_person.py; models/fsm_model_mixin.py; models/fsm_order.py; models/fsm_order_type.py; models/fsm_person.py; models/fsm_person_calendar_filter.py; models/fsm_stage.py; models/fsm_tag.py; models/fsm_team.py; models/fsm_template.py; models/res_company.py; models/res_config_settings.py; models/res_partner.py; models/res_territory.py,"Manage Field Service Locations, Workers and Orders"
3,fieldservice_account,Phase 6 — money,fieldservice,app/Models/Work/ServiceJob.php; app/Http/Controllers/Core/Money/InvoiceController.php; app/Http/Controllers/Core/Money/PaymentController.php,models/__init__.py; models/account_move.py; models/account_move_line.py; models/fsm_order.py; models/fsm_stage.py; security/ir.model.access.csv; views/account_move.xml; views/fsm_order.xml; views/fsm_stage.xml; tests/__init__.py; tests/test_fsm_account.py; README.rst,Track invoices linked to Field Service orders
4,fieldservice_activity,Phase 1 — foundation,fieldservice,app/Models/Work/ServiceJob.php; app/Http/Controllers/Core/Work/ServiceJobController.php; resources/views/default/panel/user/work/jobs/show.blade.php,models/__init__.py; models/fsm_activity.py; models/fsm_order.py; models/fsm_template.py; security/ir.model.access.csv; views/fsm_order.xml; views/fsm_template.xml; tests/__init__.py; tests/test_fsm_activity.py; README.rst,Field Service Activities are a set of actions      that need to be performed on a service order
5,fieldservice_agreement,Phase 8 — agreements,fieldservice,app/Models/Work/ServiceAgreement.php; app/Services/Work/AgreementSchedulerService.php,models/__init__.py; models/agreement.py; models/fsm_equipment.py; models/fsm_order.py; models/fsm_person.py; views/agreement_view.xml; views/fsm_equipment_view.xml; views/fsm_order_view.xml; views/fsm_person.xml; migrations/18.0.1.1.0/post-migrate.py; tests/__init__.py; tests/test_fsm_agreement.py; README.rst,Manage Field Service agreements and contracts
6,fieldservice_availability,Phase 3 — dispatch,fieldservice_route,app/Models/Work/Shift.php; app/Models/Work/Site.php; app/Models/Team/TeamMember.php; app/Http/Controllers/Core/Work/ShiftController.php,models/__init__.py; models/fsm_blackout_day.py; models/fsm_blackout_group.py; models/fsm_delivery_time_range.py; models/fsm_stress_day.py; security/ir.model.access.csv; views/fsm_blackout_day_templates.xml; views/fsm_delivery_time_range_templates.xml; views/fsm_stress_day_templates.xml; views/menu.xml; tests/__init__.py; tests/test_fsm_delivery_time_range.py; README.rst,"Provides models for defining blackout days, stress days, and delivery time ranges for FSM availability management."
7,fieldservice_calendar,Phase 1 — foundation,fieldservice,app/Http/Controllers/Core/Work/ServiceJobController.php; app/Services/Work; routes/core/work.routes.php,models/__init__.py; models/calendar.py; models/fsm_order.py; models/fsm_team.py; views/fsm_order.xml; views/fsm_team.xml; tests/__init__.py; tests/test_fsm_calendar.py; README.rst,Add calendar to FSM Orders
8,fieldservice_crm,Phase 2 — CRM handoff,fieldservice,app/Models/Crm/Enquiry.php; app/Models/Crm/Customer.php; app/Http/Controllers/Core/Crm/EnquiryController.php; app/Http/Controllers/Core/Money/QuoteController.php; routes/core/crm.routes.php,models/__init__.py; models/crm_lead.py; models/fsm_location.py; models/fsm_order.py; security/ir.model.access.csv; views/crm_lead.xml; views/fsm_location.xml; views/fsm_order.xml; tests/__init__.py; tests/test_fsm_crm.py; README.rst,Create Field Service orders from the CRM
9,fieldservice_equipment_stock,Phase 7 — stock/equipment,fieldservice_stock,app/Models/Work/Site.php; app/Models/Work/ServiceJob.php,models/__init__.py; models/fsm_equipment.py; models/product_template.py; models/stock_lot.py; models/stock_move.py; models/stock_picking_type.py; security/ir.model.access.csv; views/fsm_equipment.xml; views/product_template.xml; views/stock_lot.xml; views/stock_picking_type.xml; tests/__init__.py; tests/test_fsm_equipment.py; tests/test_stock_move.py; README.rst,Integrate stock operations with your field service equipments
10,fieldservice_equipment_warranty,Phase 7 — stock/equipment,fieldservice_equipment_stock,equipment/assets domain or new ext_* tables,models/__init__.py; models/fsm_equipment.py; views/fsm_equipment.xml; tests/__init__.py; tests/test_fsm_equipment_warranty.py; README.rst,Field Service equipment warranty
11,fieldservice_kanban_info,Phase 1 — foundation,fieldservice,app/Http/Controllers/Core/Work/ServiceJobController.php; resources/views/default/panel/user/work/jobs/index.blade.php; resources/views/default/panel/user/crm/deals/kanban.blade.php,models/__init__.py; models/fsm_order.py; models/res_config_settings.py; views/fsm_order.xml; views/res_config_settings_views.xml; tests/__init__.py; tests/test_fieldservice_kanban_info.py; README.rst,Display key service information on Field Service Kanban cards.
12,fieldservice_portal,Phase 5 — portal,fieldservice,app/Models/Work/ServiceJob.php; app/Models/Work/Site.php; app/Http/Controllers/Core/Work/ServiceJobController.php; customer/portal surfaces,models/__init__.py; models/fsm_stage.py; security/ir.model.access.csv; security/portal_security.xml; views/fsm_order_template.xml; views/fsm_stage.xml; views/portal_template.xml; tests/__init__.py; tests/test_portal.py; README.rst,Bridge module between fieldservice and portal.
13,fieldservice_project,Phase 2 — work grouping,fieldservice,app/Models/Work/ServiceJob.php; app/Http/Controllers/Core/Work/ServiceJobController.php,models/__init__.py; models/fsm_location.py; models/fsm_order.py; models/fsm_team.py; models/project.py; models/project_task.py; security/ir.model.access.csv; views/fsm_location_views.xml; views/fsm_order_views.xml; views/fsm_team.xml; views/project_task_views.xml; views/project_views.xml; tests/__init__.py; tests/common.py; tests/test_fsm_location.py; tests/test_fsm_order.py; tests/test_project.py; tests/test_project_task.py,Create field service orders from a project or project task
14,fieldservice_recurring,Phase 2 — recurring & agreements,fieldservice,app/Models/Work/ServiceAgreement.php; app/Services/Work/AgreementSchedulerService.php; app/Http/Controllers/Core/Work/ServiceAgreementController.php; resources/views/default/panel/user/work/agreements/*,models/__init__.py; models/fsm_frequency.py; models/fsm_frequency_set.py; models/fsm_order.py; models/fsm_recurring.py; models/fsm_recurring_template.py; models/fsm_team.py; data/ir_sequence.xml; data/recurring_cron.xml; security/ir.model.access.csv; security/recurring_security.xml; security/res_groups.xml; views/fsm_frequency.xml; views/fsm_frequency_set.xml; views/fsm_order.xml; views/fsm_recurring.xml; views/fsm_recurring_template.xml; views/fsm_team.xml,Manage recurring Field Service orders
15,fieldservice_repair,Phase 8 — repair,fieldservice_equipment_stock,app/Models/Support or Work; app/Http/Controllers/Core/Work,models/__init__.py; models/fsm_order.py; models/fsm_order_type.py; models/repair_order.py; data/fsm_order_type.xml; views/fsm_order_view.xml; migrations/18.0.2.0.0/post-migrate.py; tests/__init__.py; tests/test_fsm_repair.py; README.rst,Integrate Field Service orders with MRP repair orders
16,fieldservice_repair_order_template,Phase 8 — repair,fieldservice_repair,repair workflow service,models/__init__.py; models/fsm_order.py; models/fsm_template.py; views/fsm_template.xml; tests/__init__.py; tests/test_repair_order_template.py; README.rst,Use Repair Order Templates when creating a repair orders
17,fieldservice_route,Phase 3 — dispatch,fieldservice,app/Models/Work/Shift.php; app/Models/Work/ServiceJob.php; app/Models/Team/Team.php; app/Http/Controllers/Core/Work/ShiftController.php; routes/core/work.routes.php,models/__init__.py; models/fsm_location.py; models/fsm_order.py; models/fsm_route.py; models/fsm_route_day.py; models/fsm_route_dayroute.py; models/fsm_stage.py; data/fsm_route_day_data.xml; data/fsm_stage_data.xml; data/ir_sequence.xml; security/ir.model.access.csv; views/fsm_location.xml; views/fsm_order.xml; views/fsm_route.xml; views/fsm_route_day.xml; views/fsm_route_dayroute.xml; views/menu.xml; tests/__init__.py,Organize the routes of each day.
18,fieldservice_route_availability,Phase 3 — dispatch,fieldservice_availability,app/Services/Work; app/Http/Controllers/Core/Work/ShiftController.php,models/__init__.py; models/fsm_blackout_day.py; models/fsm_order.py; models/fsm_route.py; views/fsm_blackout_day_templates.xml; views/fsm_route.xml; tests/__init__.py; tests/test_route_availability.py; README.rst,Restricts blackout days for Scheduled Start (ETA) orders with the same date.
19,fieldservice_sale,Phase 6 — money,fieldservice; fieldservice_account,app/Http/Controllers/Core/Money/QuoteController.php; app/Services/Money/QuoteService.php; app/Models/Work/ServiceJob.php,models/__init__.py; models/fsm_order.py; models/product_template.py; models/sale_order.py; models/sale_order_line.py; security/ir.model.access.csv; security/res_groups.xml; views/fsm_location.xml; views/fsm_order.xml; views/product_template.xml; views/sale_order.xml; tests/__init__.py; tests/test_fsm_sale_autofill_location.py; tests/test_fsm_sale_common.py; tests/test_fsm_sale_order.py; README.rst,Sell field services.
20,fieldservice_sale_agreement,Phase 8 — agreements,fieldservice_agreement; fieldservice_sale,app/Http/Controllers/Core/Money/QuoteController.php; app/Models/Work/ServiceAgreement.php,models/__init__.py; models/sale_order.py; tests/__init__.py; tests/test_fsm_sale_agreement.py; README.rst,Integrate Field Service with Sale Agreements
21,fieldservice_sale_agreement_equipment_stock,Phase 8 — agreements,fieldservice_agreement; fieldservice_sale; fieldservice_equipment_stock,agreements + equipment overlay,models/__init__.py; models/stock_move.py; tests/__init__.py; tests/test_fsm_sale_agreement_equipment_stock.py; README.rst,Integrate Field Service with Sale Agreements and Stock Equipment
22,fieldservice_sale_recurring,Phase 8 — agreements,fieldservice_recurring; fieldservice_sale; fieldservice_account,app/Models/Work/ServiceAgreement.php; app/Services/Work/AgreementSchedulerService.php,models/__init__.py; models/fsm_recurring.py; models/product_template.py; models/sale_order.py; models/sale_order_line.py; security/ir.model.access.csv; views/fsm_recurring.xml; views/product_template.xml; views/sale_order.xml; tests/__init__.py; tests/test_fsm_sale_recurring.py; README.rst,Sell recurring field services.
23,fieldservice_sale_recurring_agreement,Phase 8 — agreements,fieldservice_agreement; fieldservice_sale_recurring,agreements recurrence overlay,models/__init__.py; models/fsm_recurring.py; models/sale_order_line.py; views/fsm_recurring.xml; README.rst,Field Service Recurring Agreement
24,fieldservice_sale_stock,Phase 6 — money,fieldservice_sale; fieldservice_stock,app/Http/Controllers/Core/Money/QuoteController.php; app/Models/Work/ServiceJob.php,models/__init__.py; models/sale_order.py; tests/__init__.py; tests/test_fsm_sale_order.py; README.rst,Sell stockable items linked to field service orders.
25,fieldservice_size,Phase 9 — estimation,fieldservice,app/Models/Work/Site.php; app/Models/Work/ServiceJob.php; app/Http/Controllers/Core/Money/QuoteController.php,models/__init__.py; models/fsm_location.py; models/fsm_location_size.py; models/fsm_order.py; models/fsm_size.py; security/ir.model.access.csv; views/fsm_location.xml; views/fsm_order.xml; views/fsm_size.xml; views/menu.xml; tests/__init__.py; tests/test_fsm_order.py; README.rst,Manage Sizes for Field Service Locations and Orders
26,fieldservice_skill,Phase 4 — workforce,fieldservice,app/Models/Team/TeamMember.php; app/Http/Controllers/Core/Team/CleanerProfileController.php; resources/views/default/panel/user/team/cleaners/*,models/__init__.py; models/fsm_category.py; models/fsm_order.py; models/fsm_person.py; models/fsm_person_skill.py; models/fsm_template.py; models/hr_skill.py; security/ir.model.access.csv; views/fsm_category.xml; views/fsm_order.xml; views/fsm_person.xml; views/fsm_person_skill.xml; views/fsm_template.xml; views/hr_skill.xml; tests/__init__.py; tests/test_fsm_skill.py; README.rst,Manage your Field Service workers skills
27,fieldservice_stage_server_action,Phase 10 — automation,fieldservice,app/Http/Controllers/TitanSignalApiController.php; routes/core/signals.routes.php; app/Http/Controllers/Core/Work/ServiceJobController.php,models/__init__.py; models/fsm_order.py; models/fsm_stage.py; data/base_automation.xml; data/fsm_stage.xml; data/ir_server_action.xml; views/fsm_stage.xml; tests/__init__.py; tests/test_fsm_order_run_action.py; README.rst,Execute server actions when reaching a Field Service stage
28,fieldservice_stock,Phase 7 — stock/equipment,fieldservice,app/Models/Work/ServiceJob.php; app/Http/Controllers/Core/Work/ServiceJobController.php,models/__init__.py; models/fsm_location.py; models/fsm_order.py; models/fsm_wizard.py; models/procurement_group.py; models/res_territory.py; models/stock_move.py; models/stock_picking.py; models/stock_rule.py; data/fsm_stock_data.xml; security/ir.model.access.csv; views/fsm_location.xml; views/fsm_order.xml; views/res_territory.xml; views/stock.xml; views/stock_picking.xml; tests/__init__.py; tests/test_fsm_stock.py,Integrate the logistics operations with Field Service
29,fieldservice_timesheet,Phase 4 — workforce,fieldservice_project,app/Models/Work/Timelog.php; app/Http/Controllers/Core/Work/TimelogController.php; app/Http/Controllers/Core/Team/WeeklyTimesheetController.php; resources/views/default/panel/user/team/timesheets/*,models/__init__.py; models/fsm_order.py; models/hr_timesheet.py; views/fsm_order.xml; views/hr_timesheet.xml; report/__init__.py; report/report_timesheet_templates.xml; report/timesheets_analysis_report.py; README.rst,Timesheet on Field Service Orders
30,fieldservice_vehicle,Phase 4 — workforce,fieldservice,app/Models/Team/Team.php; app/Models/Work/Shift.php; app/Http/Controllers/Core/Work/ShiftController.php,models/__init__.py; models/fsm_order.py; models/fsm_person.py; models/fsm_vehicle.py; security/ir.model.access.csv; security/res_groups.xml; views/fsm_order.xml; views/fsm_person.xml; views/fsm_vehicle.xml; views/menu.xml; tests/__init__.py; tests/test_fsm_vehicle.py; README.rst,Manage Field Service vehicles and assign drivers
